Id,Start time,Completion time,Location,Job Title,Industry,JupyterNotebookLevel,Expectations
1,1/9/2024 18:50,1/9/2024 18:52,United Kingdom,VP,Finance,Beginner,
2,1/9/2024 19:30,1/9/2024 19:32,United States,Threat Intelligence Lead,Finance,Intermediate,"Alternative workflows, new levels, and other advanced tradecraft"
3,1/9/2024 20:07,1/9/2024 20:08,United States,Threat Hunter,Technology,Advanced,
4,1/9/2024 20:28,1/9/2024 20:29,United States,Cyber Security Incident Response,Technology,Beginner,
5,1/9/2024 20:34,1/9/2024 20:35,United States,Cyber Security Principal,Finance,Advanced,How others are using notebooks to codify their detection and response capabilities 
6,1/9/2024 20:33,1/9/2024 20:37,United States,Security Administrator,Technology,Intermediate,"I KNOW I'll learn some great stuff regardless... but for me personally - 
1) Using ChatGPT with notable.io to walk through creating a notebook
2) Using Jupyter Notebook all the way through on an incident, from incident summary to printing out the final report.  Ideally, MDE but Sentinel seems to be the more popular way to do this. 
3) Is there a way to print or save the results from my notebook investigation to upload to a SOAR OR incident ticket? 
And thank you so much for doing this!!! "
7,1/9/2024 21:02,1/9/2024 21:03,United States,Detection engineer ,Finance,Intermediate,How to use it more efficiently 
8,1/9/2024 19:20,1/9/2024 22:00,Japan,Threat Hunter,Consulting,Intermediate,Meeting new techniques.
9,1/10/2024 1:55,1/10/2024 1:57,United Kingdom,Incident Response ,Consulting,Beginner,Mind blowing use cases for using Jupyter in security. 
10,1/10/2024 2:08,1/10/2024 2:11,Germany,Ciso,Technology,Beginner,Update on latest trends 
11,1/10/2024 3:09,1/10/2024 3:09,United States,Threat hunt ,Technology,Beginner,
12,1/10/2024 3:40,1/10/2024 3:41,Switzerland ,Independent Threat Researcher ,Technology,Intermediate,
13,1/10/2024 4:11,1/10/2024 4:13,Netherlands,Freelance Security Engineer,Technology,Advanced,
14,1/10/2024 4:29,1/10/2024 4:30,Netherlands,NinjaCat,Consulting,Intermediate,Learning more ideas and logic l.
15,1/9/2024 18:56,1/10/2024 7:27,United Kingdom,Business Analyst,Technology,Intermediate,
16,1/10/2024 5:55,1/10/2024 7:49,United States,Cybers Security Incident Response,Technology,Beginner,
17,1/10/2024 8:40,1/10/2024 8:48,United States,Cybersecurity Threat Hunt Analyst,Finance,Intermediate,Just wanted to gain more knowledge on what others are doing with Jupyter Notebooks in the field and how I can start leveraging notebooks in my job role.
18,1/10/2024 9:54,1/10/2024 9:55,United States,Senior Cyber Analyst,Consulting,Beginner,Learn about Jupyter Notebooks and findout how I can contribute back to the community. 
19,1/10/2024 10:06,1/10/2024 10:07,South Korea,Director,Consulting,Intermediate,
20,1/10/2024 10:49,1/10/2024 10:52,United States,Cyber Threat Intelligence Analyst ,Technology,Beginner,I expect to learn how to leverage jupyther to facilitate cyber related tasks. 
21,1/10/2024 11:11,1/10/2024 11:12,Belgium,Lead CTI Automation & Tooling,Technology,Beginner,
22,1/10/2024 11:53,1/10/2024 12:03,United States,Director of Threat Research,Technology,Intermediate,How Jupyter notebooks are being used in the security industry.
23,1/11/2024 11:10,1/11/2024 11:13,India,Senior Security Engineer,Technology,Beginner,I am a new learner in the security data science field with some experiences in data wrangling using Pandas. I want to participate and learn from the various engineers sharing their notebooks during the event.
24,1/11/2024 12:51,1/11/2024 12:52,United States,Security Researcher,Technology,Advanced,"Workflows for threat hunting, machine learning, data enrichment"
25,1/12/2024 11:21,1/12/2024 11:21,United States,Security Analyst,Technology,Beginner,
26,1/13/2024 10:41,1/13/2024 10:43,Israel,Security Researcher,Technology,Intermediate,
