Industry,JupyterNotebookLevel,Expectations,Location
Technology,Advanced,,Australia
Technology,Advanced,,Peru
Technology,Advanced,,France
Technology,Beginner,,United States
Finance,Intermediate,,United States
Technology,Intermediate,,Indonesia 
Technology,Beginner,,United States
Finance,Beginner,,United States
Technology,Beginner,,
Technology,Intermediate,,Switzerland
Consulting,Beginner,How to get started ,United States
Technology,Intermediate,Data analysis techniques for security logs,United States
Education,Beginner,learning Info sec,Germany
Technology,Beginner,Great ways to utilize Jupyter Notebooks in responding and investigating cybersecurity artifacts!,United States
Finance,Beginner,,United States
Finance,Intermediate,,United States
Technology,Advanced,,United Kingdom
Technology,Beginner,How to start using Jupyter,London
Technology,Advanced,,United States
Technology,Intermediate,"hunting, msticpy, artifact presentation ",United States
Technology,Beginner,Rain think,Mexico 
Technology,Advanced,"Cybersecurity, data science, Microsoft Azure, and making networking ",Colombia
Education,Intermediate,How to do model training using EC2 access,India
Education,Beginner,knowledge,United States
Technology,Beginner,Learn more about Jupyter.,Mexico 
Technology,Intermediate,,Portugal
Hotel & Food Services,Beginner,"would like to know how i can use jupyter notebooks in my day-to-day work in infosec.
Would like to say how people across the world are utilizing this tool.",India
Technology,Advanced,automate threat hunts,Belgium
Consulting,Intermediate,Learn about new frameworks and tools people are using. Also seeing how msticpy is being used. I try to write my own notebooks around msticpy functionality and it helps to have a bit of inspiration.,Qatar
Education,Beginner,How to use them,United States
Technology,Beginner,As much as possible,Poland
Consulting,Beginner,Basic stuff,
Technology,Beginner,,India
Retail,Beginner,As much as I can! ,Canada
Technology,Intermediate,,Canada
Technology,Beginner,Anything is fine!,Canada
Consulting,Intermediate,"IR notebooks best practices.
Adversary Emulation documentation",Dominican Republic
Finance,Beginner,,United States
Technology,Beginner,,United States
Technology,Intermediate,Want to see what others are making and ways they are re making detections. Scheduling notebooks is also a big interest of mjne,United States
Technology,Intermediate,"Looking to see other people implementations of Jupyter Notebooks into their analysis as blue teams, and possibly some implementations that are leveraged to threat hunt for adversarial activity.  ",United States
Technology,Beginner,security data analysis and automation of sec ops processes,United States
Technology,Beginner,No expectations. ,Poland 
Technology,Beginner,What it is and how to use it,United States
Technology,Beginner,Interested in understanding how jupyter notebooks & secops can drive outcomes,United States
Technology,Intermediate,,Australia
Technology,Beginner,,United States
Technology,Intermediate,Latest in infosec,United States
Technology,Intermediate,,South Korea
Technology,Beginner,No expectations at this time ,United States
Consulting,Beginner,,United States
Technology,Expert,,Australia
Technology,Beginner,Use cases for using Jupiter notebooks for different analysis use cases and the technical details to make it happen.,United States
Technology,Beginner,Would love to hear more about getting data into the notebooks and threat hunting strategies!,United States
Technology,Beginner,,Singapore 
Technology,Beginner,"More great strategies to employ them, day to day.",United States
Technology,Beginner,Security topics,United States
Technology,Beginner,,United States
Technology,Intermediate,"More capabilities, ho others are using them and how i can expand my own use.",United States
Technology,Intermediate,Real world implementation in threat hunting and intelligence.,India
Retail,Beginner,Threat hunting,
Education,Beginner,,United States
Finance,Beginner,,India
Finance,Advanced,,United States
Technology,Beginner,Jupyter applied to infosec ,Brazil
Technology,Beginner,,United States
Technology,Beginner,,United States
Student,Beginner,Learn something new which will me understand.,India 
Healthcare,Beginner,,South Africa
Technology,Beginner,Everything about Jupyter Notebooks!,India
Retail,Beginner,,Netherlands
Technology,Intermediate,Automation,Canada
Technology,Beginner,,United States
Technology,Beginner,,Mexico 
Finance,Beginner,,India
Education,Advanced,"Use cases, algorithms",Poland
Consulting,Beginner,,Belgium
Consulting,Beginner,,United States
Technology,Beginner,,Belgium
Technology,Intermediate,,India
Consulting,Intermediate,New ideas for new notebooks.,Belgium
Technology,Advanced,Applied science to cybersecurity domain.,Czech Republic
Technology,Intermediate,,India 
Finance,Intermediate,,Portugal
Finance,Intermediate,New DFIR and automation techniques,Argentina
